name,rank,win,win_rate
N.Djokovic,1,4704,47.04
D.Medvedev,4,1877,18.77
D.Thiem,3,1780,17.8
R.Nadal,2,739,7.39
S.Tsitsipas,6,371,3.71
A.Zverev,7,250,2.5
A.Rublev,8,90,0.9
M.Berrettini,10,29,0.29
F.Auger-Aliassime,21,18,0.18
K.Khachanov,20,15,0.15
D.Schwartzman,9,12,0.12
R.Bautista Agut,13,10,0.1
A.de Minaur,23,9,0.09
R.Opelka,40,9,0.09
P.Carreno Busta,16,8,0.08
D.Goffin,14,6,0.06
L.Sonego,34,5,0.05
C.Ruud,27,5,0.05
M.Raonic,15,5,0.05
F.Fognini,17,4,0.04
H.Hurkacz,29,4,0.04
F.Krajinovic,31,4,0.04
D.Lajovic,26,4,0.04
N.Kyrgios,47,3,0.03
B.Coric,25,3,0.03
J.Struff,37,3,0.03
J.Thompson,52,2,0.02
M.Kecmanovic,42,2,0.02
G.Dimitrov,19,2,0.02
J.Sinner,36,2,0.02
G.Monfils,11,2,0.02
T.Fritz,30,2,0.02
R.Albot,85,2,0.02
M.Cilic,43,2,0.02
A.Bublik,45,2,0.02
B.Paire,28,1,0.01
A.Karatsev,113,1,0.01
A.Martin,102,1,0.01
M.Cecchinato,79,1,0.01
S.Wawrinka,18,1,0.01
N.Basilashvili,39,1,0.01
M.Ymer,95,1,0.01
D.Shapovalov,12,1,0.01
D.Novak,100,1,0.01
L.Djere,56,1,0.01
U.Humbert,32,1,0.01
T.Sandgren,50,1,0.01
P.Herbert,84,1,0.01
D.Evans,33,1,0.01
S.Caruso,76,1,0.01
T.Machac,197,0,0.0
P.Andujar,59,0,0.0
A.Seppi,107,0,0.0
R.Haase,198,0,0.0
A.Ramos-Vinolas,46,0,0.0
I.Ivashka,110,0,0.0
C.Norrie,67,0,0.0
R.Carballes Baena,98,0,0.0
G.Pella,44,0,0.0
R.Safiullin,182,0,0.0
M.Mmoh,177,0,0.0
V.Troicki,202,0,0.0
M.McDonald,194,0,0.0
Q.Halys,206,0,0.0
V.Pospisil,61,0,0.0
A.Balazs,94,0,0.0
C.Alcaraz,146,0,0.0
R.Berankis,72,0,0.0
A.Vukic,195,0,0.0
M.Vilella Martinez,188,0,0.0
L.Harris,91,0,0.0
K.Anderson,82,0,0.0
H.Laaksonen,136,0,0.0
B.Van de Zandschulp,159,0,0.0
S.Nagal,139,0,0.0
S.Kwon,97,0,0.0
T.Kokkinakis,266,0,0.0
G.Simon,64,0,0.0
P.Cuevas,70,0,0.0
P.Sousa,108,0,0.0
F.Tiafoe,62,0,0.0
M.Torpegaard,193,0,0.0
F.Coria,92,0,0.0
A.Popyrin,114,0,0.0
J.Vesely,69,0,0.0
N.Gombos,89,0,0.0
A.Bolt,174,0,0.0
Y.Uchiyama,106,0,0.0
F.Ferreira Silva,184,0,0.0
H.Dellien,112,0,0.0
D.Koepfer,68,0,0.0
M.Kukushkin,90,0,0.0
S.Travaglia,71,0,0.0
J.Millman,38,0,0.0
M.Giron,73,0,0.0
M.Cressy,171,0,0.0
T.Daniel,117,0,0.0
K.Majchrzak,109,0,0.0
A.Mannarino,35,0,0.0
S.Stakhovsky,201,0,0.0
A.Bedene,58,0,0.0
P.Martinez,87,0,0.0
Y.Nishioka,57,0,0.0
E.Ruusuvuori,86,0,0.0
K.Coppejans,178,0,0.0
K.Nishikori,41,0,0.0
M.Fucsovics,55,0,0.0
Y.Sugita,104,0,0.0
C.O'Connell,121,0,0.0
T.Paul,53,0,0.0
S.Querrey,51,0,0.0
F.Lopez,63,0,0.0
L.Tu,1001,0,0.0
Y.Lu,1008,0,0.0
Y.Hanfmann,101,0,0.0
J.Chardy,66,0,0.0
M.Polmans,125,0,0.0
E.Ymer,204,0,0.0
J.Londero,81,0,0.0
A.Muller,209,0,0.0
G.Mager,96,0,0.0
E.Gerasimov,78,0,0.0
C.Moutet,80,0,0.0
C.Stebe,128,0,0.0
J.Duckworth,105,0,0.0
D.Dzumhur,120,0,0.0
B.Tomic,229,0,0.0
T.Monteiro,83,0,0.0
